"","...1","Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"1",1,"{AB964782-C771-4DE9-9F1C-DE89FCF5D440}",164500,2009-12-18,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"2",2,"{18B47541-4458-469F-957C-EDE978FC5C7E}",580000,2008-07-17,"D",FALSE,"F","BATTLE","ROTHER","EAST SUSSEX","A","A"
"3",3,"{37AAEA9D-79F7-4A7D-8B05-D6D1E473BCE3}",240000,2009-06-24,"F",FALSE,"L","LEWES","LEWES","EAST SUSSEX","A","A"
"4",4,"{0F404B12-E361-44A1-9346-D9A61A674AF9}",348500,2009-05-08,"D",FALSE,"F","BATTLE","ROTHER","EAST SUSSEX","A","A"
"5",5,"{C93E4AED-C53E-4DE0-B272-62BBB4BA0C4A}",2e+05,2009-11-18,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"6",6,"{801657AB-9BE1-45E2-BA23-0C85376CF9D0}",208000,2009-03-25,"S",FALSE,"F","LEWES","LEWES","EAST SUSSEX","A","A"
"7",7,"{DC7368AC-5AF1-476D-AE51-331DCC69ED9E}",320000,2008-09-19,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"8",8,"{ED626B6B-2C80-412A-A061-34868745FB60}",205000,2009-09-30,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"9",9,"{379E5BD9-8DF1-4A7F-BBF8-879A4DDA1DE6}",350000,2009-06-16,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"10",10,"{2BE0A3A4-0FF3-42B7-BB05-6BAA0E238DC7}",230000,2009-11-06,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"11",11,"{8D5FCD36-284E-4FFC-9D72-21AD67585AD1}",635000,2008-07-31,"D",FALSE,"F","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"12",12,"{143C2C32-063A-45E3-B470-EAB2BA00ED4C}",180000,2008-06-20,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"13",13,"{41240DED-13B0-4233-9521-BEE676430E6B}",175000,2009-12-23,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"14",14,"{05F71716-575E-4564-B0D9-809CDFC98D1F}",115000,2008-01-02,"F",FALSE,"L","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"15",15,"{D9749877-C040-44C3-BECB-B22AA473A69B}",108500,2009-11-20,"S",FALSE,"F","BICESTER","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"16",16,"{9DA73B3D-AF07-4601-A827-49111282C854}",322500,2009-11-19,"D",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"17",17,"{7D02DAB4-C51A-4A81-BD20-1AF7F5E40B8C}",130000,2009-11-30,"T",FALSE,"F","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"18",18,"{5F095FC3-7BB6-4490-A6D6-FA32CA8C55C1}",289950,2008-06-27,"S",TRUE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"19",19,"{517436AD-E46B-43B5-8FC7-94661EF29411}",148000,2008-07-11,"S",FALSE,"F","ST. LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"20",20,"{D03B2EF7-6868-4D09-892F-B61BE3C7977C}",215000,2008-02-01,"S",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"21",21,"{C1492461-DF6B-4DD8-B37E-C3D0D22BF9B0}",435000,2009-05-28,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"22",22,"{84E595B9-75F8-46A0-BA99-63475B05820F}",163000,2009-11-02,"S",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"23",23,"{9ABB9B35-2E47-4302-92AD-56AA84DF50AD}",197500,2009-07-02,"S",FALSE,"F","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"24",24,"{C5326646-6266-4045-8A9F-CB5B37ABB1F8}",180000,2009-10-08,"S",FALSE,"F","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"25",25,"{A03D8E34-C9DE-4037-9BDE-E6E5B09C045C}",350000,2009-11-06,"S",FALSE,"F","LEWES","LEWES","EAST SUSSEX","A","A"
"26",26,"{11329A9C-148F-427F-AFC6-69F55E00D620}",5e+05,2009-04-29,"D",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"27",27,"{FEFC5FF7-34A9-4791-8FC3-A995959CBA1F}",139000,2008-01-11,"F",FALSE,"L","LEWES","LEWES","EAST SUSSEX","A","A"
"28",28,"{E9262835-70EF-42A6-955F-A458D10BD321}",352500,2008-09-12,"D",FALSE,"F","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"29",29,"{151C815E-4C9E-4FC6-9DC4-E42E315DA2AA}",577000,2008-09-19,"D",FALSE,"F","RYE","ROTHER","EAST SUSSEX","A","A"
"30",30,"{4D5080C0-5E18-4F34-A9E6-24238E19A720}",228000,2008-03-14,"T",FALSE,"F","IVER","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"31",31,"{33CEDCA4-B55F-4CC4-9995-943F82A8A2C5}",240000,2008-01-04,"T",FALSE,"F","RYE","ROTHER","EAST SUSSEX","A","A"
"32",32,"{0672C920-2500-493C-BD9D-C1B85861897E}",585000,2009-06-19,"D",FALSE,"F","LEWES","WEALDEN","EAST SUSSEX","A","A"
"33",33,"{7ABB741A-CE85-42F6-BA51-E8BC1F565C05}",175000,2008-11-28,"S",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"34",34,"{209C890E-EA8F-4583-9FC6-C848CAD98EB2}",184000,2009-08-07,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"35",35,"{B3EA7761-3F5B-49C2-8EE0-22D88E3A156E}",245000,2009-12-02,"D",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"36",36,"{7C44622F-2784-426A-A871-5E7F995BD3B8}",770000,2008-06-19,"D",FALSE,"F","DUNSTABLE","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"37",37,"{5806C034-75EC-40C3-A716-0294115DF203}",340000,2008-08-29,"D",TRUE,"F","ETCHINGHAM","ROTHER","EAST SUSSEX","A","A"
"38",38,"{9562C029-8897-4150-83F7-1BB22BD4DE61}",161500,2008-05-23,"T",FALSE,"F","ST. LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"39",39,"{1027CD01-576C-4494-BD3D-0A5EB39BA364}",130000,2008-10-31,"F",FALSE,"L","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"40",40,"{F0A4F315-4C91-460E-B3D8-F2F9B34B3361}",160666,2009-09-04,"S",FALSE,"F","BATTLE","ROTHER","EAST SUSSEX","A","A"
"41",41,"{F71B4FFC-FEBA-4361-89F4-E139F6BE8714}",190000,2009-11-27,"S",TRUE,"F","LEWES","WEALDEN","EAST SUSSEX","A","A"
"42",42,"{995B7AAD-C4E8-46CB-9234-86E939F79C07}",150000,2008-07-08,"F",FALSE,"L","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"43",43,"{B35C066A-69A9-4962-A403-DD79CD7E7638}",290000,2008-05-09,"D",FALSE,"F","LEWES","LEWES","EAST SUSSEX","A","A"
"44",44,"{9870EAD5-820F-437C-BA81-D63E2FC17EFA}",242000,2008-07-11,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"45",45,"{4B552D7D-43CA-4FD4-8B65-9768FA87B333}",220000,2008-12-12,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"46",46,"{A3E244CC-38AF-47F7-9EDF-35E3D7FE4E3D}",312500,2008-02-01,"D",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"47",47,"{AB75F356-8CFC-42A6-872B-031AF904A946}",654000,2008-04-04,"T",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"48",48,"{6A674CB1-0957-43B0-95AD-7320D0C780A1}",305000,2009-07-31,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"49",49,"{4DCA89C6-CDE7-40F5-A3BB-F19D97BBAC68}",230000,2008-04-10,"F",TRUE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"50",50,"{7B499375-1513-4614-8F7B-3ADE1908809C}",365000,2009-01-30,"D",FALSE,"F","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"51",51,"{4293335A-69AF-4339-9B33-40E23EF7AF08}",3e+05,2009-01-16,"D",FALSE,"F","HIGH WYCOMBE","CHILTERN","BUCKINGHAMSHIRE","A","A"
"52",52,"{FABD24C5-487E-4BF2-B1C5-363790B741B8}",499999,2009-10-26,"D",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"53",53,"{AF357643-BDE0-4F91-AE5C-31B1EA3C7F46}",155000,2008-06-02,"F",FALSE,"L","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"54",54,"{75245037-B579-4037-AAA4-8122FBA21736}",205000,2009-09-30,"T",TRUE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"55",55,"{DA83443B-5D42-43BB-B4A3-E87189EA36E6}",122500,2009-05-19,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"56",56,"{A71C6B55-6847-496D-AD19-412A67B8DFA9}",460000,2008-05-23,"D",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"57",57,"{32374DC2-34E2-44D1-9DD9-31D877F2B8B8}",695000,2008-02-29,"D",FALSE,"F","GREAT MISSENDEN","CHILTERN","BUCKINGHAMSHIRE","A","A"
"58",58,"{C61D08FE-FE1D-4E7B-9E91-2ACC54DB94D5}",188000,2008-01-31,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"59",59,"{E34EBBA8-9FFE-4E11-8E83-3CFE25D3B7C8}",3e+05,2009-10-16,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"60",60,"{85C5C37E-70A4-4198-BDFF-4DF273B40620}",180000,2008-04-18,"F",TRUE,"L","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"61",61,"{66BAFD3E-6A7F-471A-A6C4-123B13B7D8B1}",270000,2009-07-31,"S",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"62",62,"{D56D2C49-CACC-45D7-852D-7DE044BEF175}",225000,2009-05-21,"D",FALSE,"F","SEAFORD","LEWES","EAST SUSSEX","A","A"
"63",63,"{6A68DF71-0399-46A7-AB90-090D2B62A890}",860000,2008-09-16,"D",FALSE,"F","BEACONSFIELD","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"64",64,"{36BCB944-5752-41FA-9BD2-AE165C76C57A}",128000,2009-02-27,"F",TRUE,"L","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"65",65,"{4BFCAB1E-FB35-4E35-8B84-930CE2CCCA66}",219000,2009-10-30,"D",FALSE,"F","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"66",66,"{B264C6D1-CCF8-413D-A4BA-E85BF5B5A13C}",317500,2009-07-03,"D",FALSE,"F","LEWES","WEALDEN","EAST SUSSEX","A","A"
"67",67,"{448AE5B8-D934-4EDC-9FAB-B2C5F53267B8}",340000,2009-12-17,"D",FALSE,"F","BEACONSFIELD","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"68",68,"{B716F970-8405-4E0A-8097-76187DAE71C7}",262950,2008-02-04,"D",FALSE,"F","PEVENSEY","WEALDEN","EAST SUSSEX","A","A"
"69",69,"{E72D1A9D-C4AE-4301-BF74-808C7307D821}",568000,2008-01-25,"D",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"70",70,"{4EFC81B8-93F1-41C3-BB79-4223A707F471}",131000,2008-04-30,"F",TRUE,"L","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"71",71,"{443612CD-D4ED-4D2B-8000-1B69F076E108}",160000,2008-09-11,"S",FALSE,"F","POLEGATE","WEALDEN","EAST SUSSEX","A","A"
"72",72,"{9BBD38E9-F441-4A37-B82F-FFB2208197AA}",230000,2008-09-18,"S",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"73",73,"{B6E5B4DD-A068-4D90-A153-6F9DFF6D5C6F}",226000,2009-11-06,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"74",74,"{2A289EA0-89AF-CDC8-E050-A8C063054829}",147000,2008-03-20,"T",FALSE,"F","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"75",75,"{C2FB69BD-F1EA-4F1A-A7C6-4467082B0FCE}",220625,2009-06-23,"D",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"76",76,"{CC1618FC-6F55-4B27-951A-A6688E0E7438}",221495,2008-12-22,"S",TRUE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"77",77,"{0DA28B7F-FCA9-4205-A7E4-78252A3DCFEC}",230500,2008-02-29,"T",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"78",78,"{D66A116C-5B2B-4370-9B46-123EF3CC6DC5}",249000,2009-08-28,"S",FALSE,"F","AMERSHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"79",79,"{B7D28FEC-7BF7-4EF1-A943-C955AF281BC8}",310000,2008-07-24,"S",FALSE,"F","WINCHELSEA","ROTHER","EAST SUSSEX","A","A"
"80",80,"{73D0CAB7-772A-44F1-9158-2AA93BE448BD}",192500,2008-04-01,"F",FALSE,"L","IVER","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"81",81,"{111F0131-5CDE-4DE8-A422-5A22EE034804}",250000,2008-06-20,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"82",82,"{B6BA8919-E68D-4602-9E2C-C6A252760337}",225000,2008-07-18,"T",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"83",83,"{1F325ACB-B2AB-47C6-A395-21E2522E5ABE}",240000,2008-06-26,"T",FALSE,"F","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"84",84,"{EF53B252-C755-43DE-B1C0-5D71130739DB}",375000,2008-12-08,"F",TRUE,"L","BURGESS HILL","LEWES","EAST SUSSEX","A","A"
"85",85,"{0C4E3AC9-BCB7-4A64-809D-95A118A4F9E6}",249500,2008-04-25,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"86",86,"{15EB83FC-6A05-46C2-9F92-5FE8A883BA0A}",388000,2008-04-09,"D",FALSE,"F","CHESHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"87",87,"{9B3B8DBC-3C3A-49B7-ABD3-CA37AC4E3B45}",175000,2009-11-13,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"88",88,"{E44A0D4B-9206-4767-8085-4D1F83C0A749}",217500,2009-05-29,"F",FALSE,"L","UXBRIDGE","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"89",89,"{04941770-23F6-4936-8C8A-5A9D5113CF74}",486500,2009-10-29,"D",FALSE,"F","POLEGATE","WEALDEN","EAST SUSSEX","A","A"
"90",90,"{E9369F41-B7AD-4252-984D-4F5AC79D7E67}",320000,2009-12-11,"S",FALSE,"F","WADHURST","ROTHER","EAST SUSSEX","A","A"
"91",91,"{F7ADFCCC-0AF5-45CF-AEC4-017AC835A6BF}",220000,2008-01-07,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"92",92,"{0888F47B-C3C4-42B9-9FB2-E255E2DA6000}",268000,2008-02-04,"D",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"93",93,"{C88175BA-0002-46CD-AB18-288401C96D72}",240000,2008-11-20,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"94",94,"{591C3506-9F60-4A03-8333-23EDBD05F9E4}",120000,2008-03-14,"F",FALSE,"L","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"95",95,"{70E641D9-5921-47CB-8B47-206BCF965FE2}",142000,2008-02-12,"F",FALSE,"L","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"96",96,"{59BDA257-4DCA-4C9F-9484-07DFFC24BC2E}",340000,2009-10-20,"D",FALSE,"F","CHESHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"97",97,"{924A75E3-A452-44DD-BE4E-D0CA8DF0E5DA}",172500,2009-02-04,"S",FALSE,"F","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"98",98,"{407E69E3-A504-494E-B78F-32F05B068D52}",227000,2009-08-13,"D",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"99",99,"{4DE56D8B-8386-455A-AEE9-D3E98F36D616}",87450,2009-08-13,"T",FALSE,"L","RYE","ROTHER","EAST SUSSEX","A","A"
"100",100,"{D79EB7B6-355A-4D89-BFF3-66DCD73DC6D5}",499950,2008-01-18,"D",FALSE,"F","ETCHINGHAM","ROTHER","EAST SUSSEX","A","A"
"101",101,"{617F083B-DB7B-47FA-8A5F-963F0895F5B5}",107000,2008-04-08,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"102",102,"{60CDBF65-A50D-40D6-8E5A-A2632796F5C0}",249950,2008-02-12,"T",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"103",103,"{7DE9EBB0-E408-4B10-95C2-1EBF5BF0BC7F}",205000,2009-08-10,"S",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"104",104,"{8446010F-F432-4844-8354-8ADB2E787081}",175000,2009-01-20,"S",FALSE,"F","CHESHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"105",105,"{3B7E5C72-5BB9-466B-B1F2-30760B4A23B8}",297000,2008-06-23,"D",FALSE,"F","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"106",106,"{13CCCE8A-28A9-45FD-98BF-04C30B1392A2}",295000,2008-04-17,"F",TRUE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"107",107,"{5DBBAF36-D517-4C86-AD88-6281FAE61CEB}",270000,2009-07-10,"D",FALSE,"F","BATTLE","ROTHER","EAST SUSSEX","A","A"
"108",108,"{ADEB12C6-A60D-425F-B6B9-F004D5DC07AA}",191000,2008-01-23,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"109",109,"{E745D47C-CAA9-41F3-A0EE-10B794CC434A}",294000,2008-07-11,"S",FALSE,"L","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"110",110,"{E28B6EDA-5B92-4062-867B-013BD5CAB7CF}",165800,2009-06-19,"T",FALSE,"F","PEVENSEY","WEALDEN","EAST SUSSEX","A","A"
"111",111,"{78931EBE-1FA3-48E3-80BF-E63BDCAB772C}",306000,2008-04-25,"S",FALSE,"F","AYLESBURY","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"112",112,"{21FB6513-AD04-4E37-B86F-AEB033AAE8C8}",555000,2008-01-18,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"113",113,"{14432B19-958C-43E3-A51E-407346A13147}",279950,2009-12-11,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"114",114,"{7D82326D-17B0-4413-9DC9-707680AAC574}",275000,2008-03-20,"S",FALSE,"F","LEWES","LEWES","EAST SUSSEX","A","A"
"115",115,"{268FD131-8B53-471B-AA51-AEDAB7CFECDC}",275000,2008-08-01,"D",FALSE,"F","HAILSHAM","WEALDEN","EAST SUSSEX","A","A"
"116",116,"{69C38DC3-CDD1-4CD4-BA34-2EBE31D4B779}",160000,2008-04-07,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"117",117,"{A349E62F-809D-4F8F-86B7-F16DB567E9A4}",288000,2009-01-30,"D",FALSE,"F","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"118",118,"{5B9D4ADE-48B4-468E-9B95-EDC2CF1E5E70}",197970,2008-07-11,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"119",119,"{E6CB4602-B859-4B86-89CD-80DBAA90FBFB}",211000,2008-06-06,"T",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"120",120,"{7AD95111-937C-4F4A-A945-40478786E647}",205000,2008-05-27,"S",FALSE,"F","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"121",121,"{44D8E913-0C67-4ADC-B340-78C6C4F6CC7C}",143000,2009-12-04,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"122",122,"{51B5B1EF-3ACC-48A6-82A6-B6D5ACEB7312}",120000,2009-03-31,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"123",123,"{2114868E-8631-4B1C-B579-94CFFD2A277D}",65000,2009-11-16,"F",FALSE,"L","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"124",124,"{080F6901-83CE-40FF-B6AB-CB01C85E31A5}",795000,2009-11-24,"D",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"125",125,"{1ADDD4B6-8EEC-4632-92C5-D1C9F02A689E}",130000,2009-08-03,"T",FALSE,"F","HAILSHAM","WEALDEN","EAST SUSSEX","A","A"
"126",126,"{33C05581-DA9C-4A21-A9CC-CB7BDC6BBE50}",172000,2008-07-04,"F",TRUE,"L","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"127",127,"{B89C4B4E-05A9-40F6-91A6-1205CE0FA173}",370000,2009-08-10,"D",FALSE,"F","EASTBOURNE","WEALDEN","EAST SUSSEX","A","A"
"128",128,"{1B466088-DB5F-4AB5-B41D-45F46397A919}",460000,2009-12-10,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"129",129,"{D169444F-BF4A-4AEA-9E04-46431128CDB6}",195000,2008-11-14,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"130",130,"{60F10DCF-36EE-4CDE-8811-7FCEEBB56515}",950000,2008-02-27,"D",FALSE,"F","GERRARDS CROSS","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"131",131,"{EA7E8C6D-0B6F-4D03-A384-5D04A6313CF6}",174500,2009-02-10,"D",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"132",132,"{29C3C2CC-A690-4BC5-8338-895EA852BD02}",272000,2008-07-11,"D",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"133",133,"{4F34AFBB-4BC4-4669-9B2B-9E2AD07F6B9C}",239950,2008-09-26,"F",FALSE,"L","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"134",134,"{63D25F7D-A50F-45CB-A258-D0560AD6D7CB}",212500,2009-02-18,"D",FALSE,"F","SEAFORD","LEWES","EAST SUSSEX","A","A"
"135",135,"{6BF5E14E-B39A-4BB4-9977-8745F3728703}",168000,2008-06-23,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"136",136,"{196827AD-49D1-4854-8235-78B988295A22}",1e+05,2008-06-30,"D",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"137",137,"{C4FB2620-DEBD-484C-BDAA-36A4AB0BB997}",122500,2008-08-08,"F",FALSE,"L","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"138",138,"{423C8A99-C97D-45DC-8152-95DD72A4BEE9}",170000,2008-05-02,"T",FALSE,"F","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"139",139,"{D9AE6D8F-C9DB-4C59-A510-C9B6FB9EDDA6}",780000,2008-04-01,"D",FALSE,"F","AMERSHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"140",140,"{F226AD9E-E77F-4EFB-9308-725B1478103F}",210000,2008-03-17,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"141",141,"{0327B785-3F57-43B3-BC32-C5089032D791}",220000,2008-12-12,"D",FALSE,"F","ST. LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"142",142,"{71790EB8-22F0-4ED1-8730-24E972ADC033}",190000,2009-10-15,"S",FALSE,"F","BRIGHTON","LEWES","EAST SUSSEX","A","A"
"143",143,"{E07F673E-1075-4424-B841-592E3643A89C}",110000,2009-10-02,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"144",144,"{C8D72D24-EE25-41A7-B083-DD13BD3651B6}",248500,2008-06-26,"D",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"145",145,"{EB44FF06-B162-4AFD-9A53-FE5E7E1B4E2C}",735000,2008-04-30,"D",FALSE,"F","SLOUGH","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"146",146,"{BC8100DE-3E7C-406B-A81A-D10E13E9CC1F}",220000,2008-11-07,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"147",147,"{AE820DEB-F25E-4D22-928D-07DBA1A89C8A}",172000,2008-09-25,"S",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"148",148,"{01FDE076-A105-41E5-8EB1-508AED52B87A}",2850000,2008-02-29,"D",FALSE,"F","LEWES","LEWES","EAST SUSSEX","A","A"
"149",149,"{25D27243-E537-49D1-8D43-F29F2BDE7563}",380000,2009-01-06,"D",TRUE,"F","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"150",150,"{87E1971E-B514-44C4-95F9-13E7A1E6205A}",290000,2008-10-31,"D",FALSE,"F","BOURNE END","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"151",151,"{C0127E54-A210-4A97-A2EE-E227D9D254E5}",304000,2008-01-04,"F",TRUE,"L","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"152",152,"{E51898BA-2327-4D4D-BF98-EF69D918C522}",225000,2009-02-06,"T",FALSE,"F","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"153",153,"{12E89893-9752-42CD-AA53-16EA5016C633}",249999,2008-02-01,"T",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
