"","...1","Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"600",600,"{CF3E4688-D105-4DE3-ACF2-D5DE54F5EA6C}",7e+05,2008-09-30,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"601",601,"{29C5A562-E6F3-419C-A44E-CB7D9816E77E}",219950,2008-09-19,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"602",602,"{1EFAFC63-7903-472E-9BF0-ABCD666CBF59}",380000,2009-07-20,"S",FALSE,"F","BRACKLEY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"603",603,"{6A7FF1FB-7304-4D1B-91EA-C75B8E4753D6}",365000,2008-06-13,"S",TRUE,"F","SLOUGH","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"604",604,"{BD889EB0-B878-4A98-A7DA-4CDE850B3286}",525000,2009-09-03,"D",FALSE,"F","SLOUGH","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"605",605,"{7E709EBF-E186-4216-BBDE-3AB1223F1903}",191000,2009-08-07,"D",FALSE,"F","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"606",606,"{6CBB0046-ECBD-4823-8397-87B349110454}",130000,2009-09-10,"F",FALSE,"L","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"607",607,"{EAD67C7F-A7DC-4EAC-97E7-3E26E4C9AD77}",227000,2008-02-14,"S",FALSE,"F","CHESHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"608",608,"{F60E6951-47CE-4774-AE45-6FECE3FF6D63}",125000,2008-02-22,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"609",609,"{DEE8ECD3-2015-4D43-93F8-9CB3CBEAD869}",245000,2009-05-13,"D",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"610",610,"{D4105836-34E5-4472-B243-5BF1F01741AE}",161000,2009-11-10,"S",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"611",611,"{DD3496EE-B201-43EE-A48D-950B08CCF2BB}",8e+05,2009-03-05,"D",FALSE,"F","GREAT MISSENDEN","CHILTERN","BUCKINGHAMSHIRE","A","A"
"612",612,"{CC3E33CC-A654-4483-AF70-0469D7B51AFC}",850000,2009-09-08,"D",FALSE,"F","PRINCES RISBOROUGH","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"613",613,"{3B8D3A87-AC4A-4B2B-8BD4-E13EA69FCB7D}",90000,2009-09-04,"T",FALSE,"F","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"614",614,"{E2F15500-8C95-4B01-8BDD-1EBB9311B1B3}",144000,2009-09-04,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"615",615,"{8F12216F-B303-4B36-AB12-2C9878F0AAC8}",3300000,2008-02-22,"D",FALSE,"F","GERRARDS CROSS","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"616",616,"{6A5F2D7B-0D2B-4750-9F06-D5F2EC0B1D9D}",490000,2009-09-29,"D",FALSE,"F","BEACONSFIELD","CHILTERN","BUCKINGHAMSHIRE","A","A"
"617",617,"{4D2702B1-61EE-4123-BBF4-A2153447DE30}",145000,2009-05-26,"S",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"618",618,"{1702F5DC-F214-40EA-9195-3285AE882227}",147000,2008-12-12,"D",FALSE,"F","ST. LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"619",619,"{547413D2-C6D2-49C4-BD9A-07E28EAEF68A}",275000,2009-10-16,"D",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"620",620,"{33E5EE6E-9F53-4CE5-8D01-C9D552437F0F}",250000,2008-07-07,"F",TRUE,"L","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"621",621,"{2A289E9F-CFB5-CDC8-E050-A8C063054829}",610000,2008-12-22,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"622",622,"{5FA427A2-1813-4576-8139-5AD8A06FEB5A}",140000,2008-08-22,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"623",623,"{5D866A98-CE41-40F3-B5D0-32267BFD3DC4}",182500,2009-12-11,"S",FALSE,"F","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"624",624,"{5870478A-D84C-4868-ACC1-0072572DC690}",270000,2008-01-11,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"625",625,"{F71AE34E-483A-4A7C-9F08-C7D5F59D439E}",235000,2008-03-20,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"626",626,"{AC406655-BC1C-4159-B27E-EE6A39048BF2}",229950,2008-03-20,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"627",627,"{E0675F83-A9ED-4A26-805A-23A64910B9AB}",325000,2009-07-17,"D",FALSE,"F","HAYWARDS HEATH","LEWES","EAST SUSSEX","A","A"
"628",628,"{C398ED18-1ACC-4081-BC8E-DD03A424640F}",233000,2009-08-13,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"629",629,"{28ECD952-0528-4017-9497-71295BA0CF68}",275000,2008-10-17,"T",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"630",630,"{457811C3-42EB-430B-8ACA-B0CB5DBE7222}",220000,2009-08-14,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"631",631,"{BF0FB1FB-1F9A-4521-9477-6F425A13B133}",85000,2009-08-24,"F",FALSE,"L","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"632",632,"{BA4A5D37-F994-4C51-8B2C-AFD9CFFF18D3}",347000,2009-02-03,"S",FALSE,"F","WADHURST","WEALDEN","EAST SUSSEX","A","A"
"633",633,"{A1DEFD6C-2470-4BEA-B609-0C42FD5CFA41}",1485000,2008-03-05,"D",FALSE,"F","HARTFIELD","WEALDEN","EAST SUSSEX","A","A"
"634",634,"{90C6B06F-A218-49FA-9C99-0E6093929FE3}",210000,2009-06-05,"D",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"635",635,"{7396B553-C99E-4A2D-9325-EC3E14624F21}",173000,2009-10-30,"D",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"636",636,"{720737FB-C8E1-40AA-A37B-B76D60B0A06B}",140000,2009-08-14,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"637",637,"{0DE80D4B-C94D-434A-AE36-EF50EB7B94BE}",4e+05,2008-12-22,"D",FALSE,"F","IVER","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"638",638,"{638F5D35-8593-4373-B171-900EED2E95F6}",230000,2009-05-19,"F",FALSE,"L","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"639",639,"{16756C79-6204-464A-8B5D-0D356A2BADAF}",145000,2009-12-16,"F",FALSE,"L","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"640",640,"{814A55F4-762F-4AEA-BC43-7977F39E8CC0}",153500,2009-10-29,"T",FALSE,"F","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"641",641,"{9435D179-4B2C-484D-A33B-738513F03C7B}",90000,2008-06-06,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"642",642,"{1BD32CF8-C58B-4780-93E4-FF51FE22FF94}",170000,2009-01-20,"T",FALSE,"F","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"643",643,"{407DA8C4-F819-4147-B1B9-C695C38775AA}",1400000,2008-05-20,"D",TRUE,"F","BEACONSFIELD","CHILTERN","BUCKINGHAMSHIRE","A","A"
"644",644,"{67B0DC6E-1262-4CAC-BF34-0537FA396369}",180000,2009-11-26,"D",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
